date,Discharge(W),Charge(W),Production,Consumption,State of Charge(%),H2_W
2020-01-01 01:00:00,0.0,8.0,0.0,670.0,0.0,1.0
2020-01-01 01:15:00,0.0,1000.0,0.0,725.0,1.0,1.0
2020-01-01 01:30:00,0.0,1000.0,0.0,666.0,3.0,1.0
2020-01-01 01:45:00,0.0,1000.0,0.0,330.0,5.0,1.0
2020-01-01 02:00:00,0.0,1000.0,0.0,326.0,8.0,1.0
2020-01-01 02:15:00,0.0,854.0,0.0,358.0,11.0,1.0
2020-01-01 02:30:00,0.0,1002.0,0.0,332.0,13.0,1.0
2020-01-01 02:45:00,0.0,8.0,0.0,328.0,15.0,1.0
2020-01-01 03:00:00,0.0,999.0,0.0,304.0,17.0,1.0
2020-01-01 03:15:00,0.0,1000.0,0.0,132.0,19.0,1.0
2020-01-01 03:30:00,0.0,1000.0,0.0,122.0,22.0,1.0
2020-01-01 03:45:00,0.0,1000.0,0.0,61.0,25.0,1.0
2020-01-01 04:00:00,0.0,1000.0,0.0,119.0,27.0,1.0
2020-01-01 04:15:00,0.0,7.0,0.0,63.0,28.0,1.0
2020-01-01 04:30:00,0.0,8.0,0.0,109.0,28.0,1.0
2020-01-01 04:45:00,0.0,8.0,0.0,59.0,28.0,1.0
2020-01-01 05:00:00,0.0,8.0,0.0,58.0,28.0,1.0
2020-01-01 05:15:00,0.0,8.0,0.0,111.0,28.0,1.0
2020-01-01 05:30:00,0.0,8.0,0.0,61.0,28.0,1.0
2020-01-01 05:45:00,0.0,8.0,0.0,177.0,28.0,1.0
2020-01-01 06:00:00,0.0,8.0,0.0,122.0,28.0,1.0
2020-01-01 06:15:00,0.0,8.0,0.0,108.0,28.0,1.0
2020-01-01 06:30:00,0.0,8.0,0.0,59.0,28.0,1.0
2020-01-01 06:45:00,0.0,8.0,0.0,107.0,28.0,1.0
2020-01-01 07:00:00,0.0,8.0,0.0,58.0,28.0,1.0
2020-01-01 07:15:00,36.0,0.0,0.0,62.0,27.0,1.0
2020-01-01 07:30:00,82.0,0.0,0.0,114.0,27.0,1.0
2020-01-01 07:45:00,31.0,0.0,0.0,59.0,27.0,1.0
2020-01-01 08:00:00,86.0,0.0,3.0,114.0,26.0,1.0
2020-01-01 08:15:00,191.0,0.0,3.0,219.0,24.0,1.0
2020-01-01 08:30:00,345.0,0.0,6.0,381.0,23.0,1.0
2020-01-01 08:45:00,292.0,0.0,0.0,320.0,22.0,1.0
2020-01-01 09:00:00,261.0,0.0,2.0,287.0,20.0,1.0
2020-01-01 09:15:00,286.0,0.0,20.0,339.0,20.0,1.0
2020-01-01 09:30:00,989.0,0.0,30.0,1146.0,18.0,1.0
2020-01-01 09:45:00,235.0,0.0,60.0,316.0,16.0,1.0
2020-01-01 10:00:00,118.0,0.0,85.0,240.0,16.0,1.0
2020-01-01 10:15:00,114.0,0.0,123.0,268.0,15.0,1.0
2020-01-01 10:30:00,201.0,0.0,88.0,317.0,14.0,1.0
2020-01-01 10:45:00,143.0,0.0,187.0,358.0,13.0,1.0
2020-01-01 11:00:00,2004.0,0.0,202.0,2322.0,12.0,1.0
2020-01-01 11:15:00,76.0,0.0,213.0,309.0,6.0,1.0
2020-01-01 11:30:00,63.0,0.0,243.0,315.0,6.0,1.0
2020-01-01 11:45:00,0.0,15.0,247.0,211.0,6.0,1.0
2020-01-01 12:00:00,709.0,0.0,296.0,1032.0,3.0,1.0
2020-01-01 12:15:00,180.0,0.0,321.0,540.0,2.0,1.0
2020-01-01 12:30:00,0.0,336.0,497.0,212.0,1.0,1.0
2020-01-01 12:45:00,293.0,0.0,469.0,1509.0,1.0,1.0
2020-01-01 13:00:00,0.0,249.0,445.0,205.0,1.0,1.0
2020-01-01 13:15:00,0.0,400.0,490.0,143.0,1.0,1.0
2020-01-01 13:30:00,0.0,257.0,380.0,178.0,3.0,1.0
2020-01-01 13:45:00,393.0,0.0,222.0,2013.0,1.0,1.0
2020-01-01 14:00:00,0.0,28.0,202.0,180.0,1.0,1.0
2020-01-01 14:15:00,0.0,224.0,360.0,167.0,1.0,1.0
2020-01-01 14:30:00,0.0,242.0,337.0,116.0,1.0,1.0
2020-01-01 14:45:00,0.0,22.0,182.0,166.0,2.0,1.0
2020-01-01 15:00:00,0.0,0.0,62.0,73.0,2.0,1.0
2020-01-01 15:15:00,59.0,0.0,38.0,127.0,1.0,1.0
2020-01-01 15:30:00,54.0,0.0,77.0,172.0,1.0,1.0
2020-01-01 15:45:00,0.0,0.0,28.0,46.0,1.0,1.0
2020-01-01 16:00:00,0.0,4.0,0.0,95.0,1.0,1.0
2020-01-01 16:15:00,0.0,0.0,0.0,44.0,1.0,1.0
2020-01-01 16:30:00,0.0,0.0,0.0,170.0,0.0,1.0
2020-01-01 16:45:00,0.0,1086.0,0.0,119.0,0.0,1.0
2020-01-01 17:00:00,0.0,1091.0,0.0,319.0,3.0,1.0
2020-01-01 17:15:00,0.0,1091.0,0.0,255.0,5.0,1.0
2020-01-01 17:30:00,0.0,1092.0,0.0,536.0,9.0,1.0
2020-01-01 17:45:00,0.0,1094.0,0.0,1954.0,11.0,1.0
2020-01-01 18:00:00,0.0,1095.0,0.0,688.0,14.0,1.0
2020-01-01 18:15:00,0.0,1093.0,0.0,804.0,16.0,1.0
2020-01-01 18:30:00,0.0,1093.0,0.0,979.0,18.0,1.0
2020-01-01 18:45:00,0.0,1094.0,0.0,2453.0,22.0,1.0
2020-01-01 19:00:00,0.0,1094.0,0.0,936.0,24.0,1.0
2020-01-01 19:15:00,0.0,1094.0,0.0,978.0,27.0,1.0
2020-01-01 19:30:00,0.0,1095.0,0.0,1102.0,29.0,1.0
2020-01-01 19:45:00,0.0,1094.0,0.0,1072.0,31.0,1.0
2020-01-01 20:00:00,0.0,1094.0,0.0,916.0,34.0,1.0
2020-01-01 20:15:00,0.0,1094.0,0.0,860.0,37.0,1.0
2020-01-01 20:30:00,0.0,1095.0,0.0,1121.0,40.0,1.0
2020-01-01 20:45:00,0.0,1094.0,0.0,963.0,42.0,1.0
2020-01-01 21:00:00,0.0,1094.0,0.0,867.0,44.0,1.0
2020-01-01 21:15:00,0.0,1094.0,0.0,815.0,47.0,1.0
2020-01-01 21:30:00,0.0,1094.0,0.0,1071.0,49.0,1.0
2020-01-01 21:45:00,0.0,1096.0,0.0,245.0,53.0,1.0
2020-01-01 22:00:00,0.0,1093.0,0.0,239.0,55.0,1.0
2020-01-01 22:15:00,0.0,1093.0,0.0,291.0,58.0,1.0
2020-01-01 22:30:00,0.0,1096.0,0.0,238.0,60.0,1.0
2020-01-01 22:45:00,0.0,1095.0,0.0,288.0,63.0,1.0
2020-01-01 23:00:00,0.0,1096.0,0.0,205.0,66.0,1.0
2020-01-01 23:15:00,0.0,1095.0,0.0,250.0,69.0,1.0
2020-01-01 23:30:00,0.0,1098.0,0.0,119.0,71.0,1.0
2020-01-01 23:45:00,0.0,1097.0,0.0,158.0,74.0,1.0
2020-01-02 00:00:00,121.0,0.0,0.0,149.0,16.0,1.0
2020-01-02 00:15:00,0.0,7.0,0.0,160.0,16.0,1.0
2020-01-02 00:30:00,0.0,7.0,0.0,211.0,16.0,1.0
2020-01-02 00:45:00,0.0,7.0,0.0,155.0,16.0,1.0
2020-01-02 01:00:00,0.0,7.0,0.0,144.0,16.0,1.0
2020-01-02 01:15:00,0.0,2500.0,0.0,106.0,20.0,1.0
2020-01-02 01:30:00,0.0,2500.0,0.0,156.0,27.0,1.0
2020-01-02 01:45:00,0.0,2500.0,0.0,107.0,33.0,1.0
2020-01-02 02:00:00,0.0,2502.0,0.0,111.0,40.0,1.0
2020-01-02 02:15:00,0.0,2501.0,0.0,162.0,46.0,1.0
2020-01-02 02:30:00,0.0,2045.0,0.0,104.0,52.0,1.0
2020-01-02 02:45:00,0.0,432.0,0.0,143.0,56.0,1.0
2020-01-02 03:00:00,0.0,2500.0,0.0,105.0,62.0,1.0
2020-01-02 03:15:00,0.0,2500.0,0.0,215.0,68.0,1.0
2020-01-02 03:30:00,0.0,2502.0,0.0,173.0,74.0,1.0
2020-01-02 03:45:00,0.0,2502.0,0.0,159.0,80.0,1.0
2020-01-02 04:00:00,0.0,2501.0,0.0,109.0,86.0,1.0
2020-01-02 04:15:00,0.0,7.0,0.0,144.0,87.0,1.0
2020-01-02 04:30:00,0.0,8.0,0.0,87.0,87.0,1.0
2020-01-02 04:45:00,0.0,7.0,0.0,137.0,87.0,1.0
2020-01-02 05:00:00,0.0,7.0,0.0,88.0,87.0,1.0
2020-01-02 05:15:00,0.0,7.0,0.0,139.0,87.0,1.0
2020-01-02 05:30:00,0.0,7.0,0.0,105.0,87.0,1.0
2020-01-02 05:45:00,0.0,7.0,0.0,166.0,87.0,1.0
2020-01-02 06:00:00,0.0,7.0,0.0,186.0,87.0,1.0
2020-01-02 06:15:00,0.0,8.0,0.0,88.0,87.0,1.0
2020-01-02 06:30:00,0.0,8.0,0.0,139.0,87.0,1.0
2020-01-02 06:45:00,0.0,8.0,0.0,90.0,87.0,1.0
2020-01-02 07:00:00,0.0,8.0,0.0,141.0,87.0,1.0
2020-01-02 07:15:00,65.0,0.0,0.0,97.0,86.0,1.0
2020-01-02 07:30:00,114.0,0.0,0.0,145.0,86.0,1.0
2020-01-02 07:45:00,66.0,0.0,0.0,94.0,86.0,1.0
2020-01-02 08:00:00,124.0,0.0,0.0,144.0,85.0,1.0
2020-01-02 08:15:00,282.0,0.0,0.0,310.0,84.0,1.0
2020-01-02 08:30:00,361.0,0.0,0.0,391.0,83.0,1.0
2020-01-02 08:45:00,375.0,0.0,0.0,402.0,82.0,1.0
