Data,Cons 1,Cons 2,Cons 3,Cons 4,Cons 5,Cons 6,Cons 7,Cons 8,Cons 9,Cons 10,Cons 11,Cons 12,Cons 13,Cons 14,Aggregate_Load
01/01/2019 00:15:00,0.38,0.052,2.276,0.616,1.076,0.272,0.156,0.528,0.2,1.36,1.152,0.692,3.508,0.38,12.648000000000001
01/01/2019 00:30:00,0.268,0.04,1.188,2.072,0.656,0.304,0.152,0.448,0.208,1.272,1.032,0.7,2.408,0.408,11.156
01/01/2019 00:45:00,0.364,0.084,0.28,2.172,0.748,0.396,0.152,0.404,0.324,1.168,1.036,0.752,2.252,0.804,10.936
01/01/2019 01:00:00,0.276,0.052,0.24,0.896,0.7,0.372,0.156,0.464,0.296,1.248,1.052,0.64,2.16,1.628,10.18
01/01/2019 01:15:00,0.336,0.044,0.316,0.692,0.948,0.596,0.24,0.388,0.212,1.328,1.02,0.712,2.176,1.128,10.136
01/01/2019 01:30:00,0.312,0.08,0.296,0.68,1.444,0.74,0.5,0.336,0.208,1.22,1.18,0.836,2.42,0.452,10.703999999999999
01/01/2019 01:45:00,0.292,0.048,0.284,0.692,0.88,0.776,0.364,0.26,0.12,1.34,1.888,0.852,3.208,1.184,12.187999999999999
01/01/2019 02:00:00,0.348,0.052,0.296,0.4,0.256,0.78,0.296,0.3,0.244,1.6,1.648,1.192,2.488,1.32,11.219999999999999
01/01/2019 02:15:00,0.768,0.072,0.232,0.4,0.26,0.744,0.296,0.08,0.316,1.36,1.284,1.396,2.196,0.76,10.164
01/01/2019 02:30:00,0.204,0.052,0.24,0.364,0.276,0.756,0.296,0.208,0.2,1.052,1.976,0.42,2.044,1.152,9.24
01/01/2019 02:45:00,0.152,0.052,0.22,0.196,0.192,0.74,0.292,0.06,0.18,0.904,0.82,0.484,3.668,0.3,8.26
01/01/2019 03:00:00,0.112,0.064,0.124,0.172,0.256,0.74,0.284,0.196,0.208,1.04,0.876,0.232,1.424,0.24,5.968
01/01/2019 03:15:00,0.16,0.06,0.112,0.144,0.164,0.752,0.16,0.08,0.188,1.828,1.428,0.324,1.064,0.232,6.696
01/01/2019 03:30:00,0.092,0.052,0.136,0.12,0.38,0.844,0.164,0.28,0.296,4.008,1.68,0.352,1.328,0.248,9.979999999999999
01/01/2019 03:45:00,0.112,0.064,0.164,0.16,0.12,0.26,0.168,0.232,0.376,5.484,0.688,0.34,1.06,0.644,9.872000000000002
01/01/2019 04:00:00,0.5,0.068,0.164,0.14,0.256,0.148,0.228,0.256,0.292,4.072,0.596,0.456,1.504,0.244,8.924000000000001
01/01/2019 04:15:00,0.056,0.052,0.164,0.192,0.124,0.196,0.268,0.256,0.348,4.104,0.536,0.272,1.78,0.24,8.588
01/01/2019 04:30:00,0.1,0.06,0.168,0.224,0.208,0.176,0.212,0.1,0.224,4.156,0.608,0.608,1.58,0.26,8.684
01/01/2019 04:45:00,0.104,0.068,0.168,0.236,0.196,0.176,0.164,0.172,0.22,4.024,0.632,0.524,1.78,0.404,8.867999999999999
01/01/2019 05:00:00,0.044,0.052,0.164,0.196,0.184,0.184,0.16,0.068,0.18,4.036,0.592,0.408,1.636,0.28,8.184
01/01/2019 05:15:00,0.116,0.068,0.172,0.212,0.34,0.188,0.16,0.196,0.216,3.648,0.552,0.276,1.708,0.24,8.092
01/01/2019 05:30:00,0.088,0.064,0.168,0.228,0.156,0.196,0.16,0.056,0.388,0.472,0.708,0.2,1.784,0.264,4.932
01/01/2019 05:45:00,0.06,0.052,0.172,0.112,0.3,0.256,0.164,0.304,2.052,0.352,0.632,0.2,1.64,0.24,6.536
01/01/2019 06:00:00,0.116,0.068,0.16,0.128,0.064,0.188,0.176,0.212,1.904,0.524,0.584,0.252,1.628,0.692,6.696
01/01/2019 06:15:00,0.068,0.064,0.164,0.172,0.26,0.156,0.168,0.28,1.948,0.528,0.712,0.308,1.728,0.372,6.928
01/01/2019 06:30:00,0.08,0.052,0.152,0.124,0.128,0.312,0.156,0.172,1.952,0.472,0.72,0.488,1.672,0.408,6.888
01/01/2019 06:45:00,0.116,0.072,0.116,0.12,0.2,0.236,0.188,0.132,1.836,0.424,0.572,0.488,1.648,0.408,6.556
01/01/2019 07:00:00,0.052,0.056,0.116,0.176,0.304,0.192,0.256,0.152,1.976,0.248,0.616,0.384,1.664,0.592,6.783999999999999
01/01/2019 07:15:00,0.092,0.056,0.116,0.188,0.192,0.188,0.244,0.084,1.996,0.432,0.62,0.408,1.656,2.348,8.620000000000001
01/01/2019 07:30:00,0.108,0.072,0.116,0.2,0.336,0.192,0.156,0.2,1.876,0.62,0.612,0.268,1.604,3.92,10.28
01/01/2019 07:45:00,0.04,0.056,0.112,0.244,0.064,0.164,0.152,0.156,0.368,0.516,0.512,0.268,1.676,6.048,10.376000000000001
01/01/2019 08:00:00,0.112,0.052,0.12,0.204,0.248,0.144,0.152,0.312,1.076,0.224,0.636,0.352,1.536,6.16,11.328
01/01/2019 08:15:00,0.092,0.068,0.12,0.188,0.152,0.128,1.468,0.228,0.436,0.352,0.66,0.376,1.668,6.176,12.112000000000002
01/01/2019 08:30:00,0.204,0.056,0.192,0.172,0.136,0.128,0.84,0.584,0.344,0.316,0.62,0.588,1.588,6.036,11.803999999999998
01/01/2019 08:45:00,0.064,0.052,0.272,0.152,0.26,0.1,0.384,0.228,0.408,0.348,0.664,0.544,1.468,5.948,10.892
01/01/2019 09:00:00,0.108,0.064,0.328,0.188,0.144,0.292,0.376,0.172,0.532,0.372,1.492,0.444,1.668,7.364,13.544
01/01/2019 09:15:00,0.068,0.06,0.288,0.684,0.36,0.676,0.236,0.28,0.564,0.388,2.396,0.436,1.356,2.372,10.164
01/01/2019 09:30:00,0.068,0.052,0.188,0.288,0.172,0.692,0.164,0.112,0.96,0.348,2.128,0.304,1.64,0.812,7.928
01/01/2019 09:45:00,0.108,0.06,0.124,0.272,0.156,0.696,0.284,0.32,1.5,1.048,1.92,0.18,1.536,0.732,8.935999999999998
01/01/2019 10:00:00,0.176,0.064,0.132,0.46,0.468,0.788,0.3,1.612,0.544,4.672,1.884,0.296,1.092,1.244,13.732000000000001
01/01/2019 10:15:00,0.076,0.052,0.16,0.476,0.38,1.932,0.252,0.256,0.636,3.892,1.844,0.332,1.112,0.28,11.68
01/01/2019 10:30:00,0.104,0.048,0.164,0.456,0.712,2.932,0.204,0.184,0.468,3.96,2.112,0.88,0.872,0.28,13.376
01/01/2019 10:45:00,0.06,0.076,0.416,0.48,0.356,2.468,0.204,0.18,0.716,6.196,1.44,0.608,1.144,0.276,14.62
01/01/2019 11:00:00,1.404,0.048,0.464,0.592,1.68,0.344,0.208,1.344,0.464,6.632,0.952,1.248,1.304,1.124,17.807999999999996
01/01/2019 11:15:00,1.3,0.052,0.468,0.608,0.976,0.252,1.068,1.26,0.524,8.328,1.744,2.78,1.308,1.26,21.928
01/01/2019 11:30:00,1.648,0.072,0.476,1.424,0.424,0.204,0.44,0.992,0.504,8.088,1.272,2.964,1.72,0.592,20.819999999999997
01/01/2019 11:45:00,2.848,0.052,0.648,0.884,0.216,0.14,0.312,0.276,0.236,8.74,1.964,3.52,1.656,0.456,21.947999999999997
