time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2022-01-01 00:00:00,10.1,5.0,75.2,0.0,,160.3,7.9,20.9,1026.9,0.0,2.2
2022-01-01 01:00:00,9.9,4.6,74.7,0.0,,158.1,8.0,22.0,1026.7,0.0,2.2
2022-01-01 02:00:00,9.6,4.5,75.2,0.0,,168.2,7.9,21.6,1026.7,0.0,2.1
2022-01-01 03:00:00,9.4,4.0,74.0,0.0,,156.0,7.9,21.8,1026.7,0.0,2.4
2022-01-01 04:00:00,9.1,3.7,73.8,0.0,,154.6,7.7,20.9,1026.6,0.0,2.4
2022-01-01 05:00:00,9.0,3.6,73.7,0.0,,163.4,8.2,20.8,1026.5,0.0,2.4
2022-01-01 06:00:00,8.8,3.2,73.6,0.0,0.0,170.9,7.7,19.8,1026.6,0.0,2.3
2022-01-01 07:00:00,8.4,2.8,73.7,0.0,,160.9,7.8,21.2,1027.0,0.0,2.4
2022-01-01 08:00:00,8.5,2.9,73.6,0.0,,148.4,7.5,20.2,1027.4,0.0,2.4
2022-01-01 09:00:00,10.4,4.4,71.0,0.0,,146.8,7.3,19.8,1027.7,0.0,2.3
2022-01-01 10:00:00,12.7,5.7,66.3,0.0,,137.4,7.1,20.2,1028.0,0.0,2.4
2022-01-01 11:00:00,14.8,6.2,59.8,0.0,,137.9,8.2,21.1,1027.8,0.0,2.4
2022-01-01 12:00:00,16.3,6.5,55.9,0.0,,142.3,9.0,20.8,1027.3,0.0,2.2
2022-01-01 13:00:00,17.3,6.9,54.0,0.0,,152.6,9.3,21.5,1026.5,0.0,2.0
2022-01-01 14:00:00,17.8,7.2,53.2,0.0,,154.4,9.6,21.3,1025.9,0.0,1.9
2022-01-01 15:00:00,17.8,7.6,54.3,0.0,,148.6,9.2,20.9,1025.7,0.0,1.9
2022-01-01 16:00:00,17.0,7.5,57.1,0.0,,153.9,8.2,21.0,1025.7,0.0,2.3
2022-01-01 17:00:00,15.3,7.1,61.9,0.0,,153.6,7.7,19.6,1026.0,0.0,2.2
2022-01-01 18:00:00,13.8,6.8,66.8,0.0,,158.1,7.5,18.7,1026.3,0.0,2.4
2022-01-01 19:00:00,12.4,6.2,69.8,0.0,,178.4,8.3,18.9,1026.7,0.0,2.3
2022-01-01 20:00:00,11.7,5.8,71.3,0.0,,177.7,8.0,19.4,1026.9,0.0,2.3
2022-01-01 21:00:00,11.2,5.2,71.1,0.0,,171.6,8.2,19.9,1027.3,0.0,2.2
2022-01-01 22:00:00,10.7,4.8,72.2,0.0,,164.6,7.7,19.7,1027.3,0.0,2.7
2022-01-01 23:00:00,10.4,4.5,72.0,0.0,,155.1,7.5,20.4,1027.6,0.0,2.7
2022-01-02 00:00:00,10.0,4.0,71.9,0.0,,162.1,7.9,20.2,1027.6,0.0,2.7
2022-01-02 01:00:00,9.7,3.9,72.7,0.0,,169.6,7.1,20.4,1027.3,0.0,2.4
2022-01-02 02:00:00,9.5,3.6,72.6,0.0,,164.3,7.6,19.8,1027.5,0.0,2.5
2022-01-02 03:00:00,9.4,3.7,73.4,0.0,,157.7,7.3,19.8,1027.6,0.0,2.6
2022-01-02 04:00:00,9.1,3.6,74.1,0.0,,162.5,7.1,18.5,1027.5,0.0,2.5
2022-01-02 05:00:00,8.8,3.6,75.2,0.0,,175.4,7.0,17.8,1027.6,0.0,2.6
2022-01-02 06:00:00,8.8,3.6,75.3,0.0,0.0,180.0,6.8,17.1,1027.9,0.0,2.5
2022-01-02 07:00:00,8.6,3.5,75.9,0.0,,173.3,6.7,16.0,1028.4,0.0,2.6
2022-01-02 08:00:00,8.6,3.7,76.6,0.0,,182.5,6.4,16.0,1028.9,0.0,2.6
2022-01-02 09:00:00,9.9,4.8,75.0,0.0,,156.3,6.3,15.3,1029.3,0.0,2.6
2022-01-02 10:00:00,11.9,6.2,71.6,0.0,,153.4,6.7,15.1,1029.7,0.0,2.6
2022-01-02 11:00:00,13.6,6.9,66.9,0.0,,155.2,7.1,15.6,1029.4,0.0,2.5
2022-01-02 12:00:00,14.9,7.3,63.4,0.0,,154.8,7.6,16.2,1028.8,0.0,2.3
2022-01-02 13:00:00,15.8,7.5,60.6,0.0,,179.7,7.7,16.6,1028.0,0.0,2.2
2022-01-02 14:00:00,16.3,7.9,60.3,0.0,,178.8,7.6,17.0,1027.4,0.0,2.1
2022-01-02 15:00:00,16.3,8.2,61.3,0.0,,161.5,7.8,16.4,1027.3,0.0,2.1
2022-01-02 16:00:00,15.5,8.7,66.4,0.0,,165.2,7.1,15.5,1027.5,0.0,2.2
2022-01-02 17:00:00,13.9,8.3,71.5,0.0,,155.8,6.1,14.5,1027.8,0.0,2.2
2022-01-02 18:00:00,12.5,8.1,76.8,0.0,,159.3,5.5,13.8,1028.0,0.0,2.3
2022-01-02 19:00:00,11.3,7.6,79.9,0.0,,169.9,5.4,13.4,1028.4,0.0,2.3
2022-01-02 20:00:00,10.6,7.1,81.4,0.0,,188.1,5.9,13.6,1028.6,0.0,2.2
2022-01-02 21:00:00,10.2,6.6,81.1,0.0,,182.7,5.7,13.8,1028.8,0.0,2.2
2022-01-02 22:00:00,9.6,6.2,82.5,0.0,,167.7,6.0,15.1,1028.7,0.0,2.5
2022-01-02 23:00:00,9.1,5.7,83.0,0.0,,172.3,5.8,14.2,1028.5,0.0,2.6
2022-01-03 00:00:00,8.7,5.3,83.0,0.0,,169.4,5.7,14.1,1028.3,0.0,2.8
2022-01-03 01:00:00,8.4,5.1,83.3,0.0,,172.5,5.8,14.1,1027.9,0.0,2.9
2022-01-03 02:00:00,8.1,5.0,84.5,0.0,,162.7,5.8,14.5,1027.7,0.0,2.8
2022-01-03 03:00:00,7.9,4.9,84.9,0.0,,161.3,6.2,14.6,1027.4,0.0,2.9
2022-01-03 04:00:00,7.5,4.6,85.4,0.0,,168.1,6.0,16.2,1027.0,0.0,3.1
2022-01-03 05:00:00,7.4,4.6,85.6,0.0,,159.5,6.1,16.0,1026.7,0.0,3.1
2022-01-03 06:00:00,7.2,4.5,85.9,0.0,0.0,158.5,5.9,16.0,1026.7,0.0,2.9
