P_g,P_s_in,P_s_out,s,eps
240.54175587005486,97.46491875294512,0.0,200.0,0.0
548.375657901816,0.0,200.0,291.75167281529787,0.0
-71.33583285379044,163.87320006395547,0.0,80.0,0.0
-246.86453658004297,200.0,0.0,235.3435400607577,0.0
-44.671787908982935,200.0,0.0,424.3550971925025,0.0
72.12665176120595,200.0,0.0,612.572805784294,0.0
42.86698297706397,0.0,200.0,800.0,0.0
-138.589500953732,0.0,200.0,586.1136842105263,0.0
-880.4700758393134,200.0,0.0,373.1256909473685,0.0
-1159.530108501566,200.0,0.0,561.5585630453895,0.0
-663.776945210455,0.0,200.0,749.2000170805989,0.0
-374.558328394005,0.0,200.0,535.5270612193867,0.0
-643.053515133181,200.0,0.0,322.7515317727916,0.0
-126.27380986444598,0.0,200.0,511.3959753393459,0.0
-70.79766329601102,0.0,200.0,298.72179645344704,0.0
-449.033368219402,200.0,0.0,86.9408491188689,0.0
-328.0925764870352,88.13390496363522,0.0,276.57569755256964,0.0
-65.868870791956,0.0,200.0,359.1412893383023,0.0
-453.744313540958,200.0,0.0,147.10658013360776,0.0
-55.13308932939299,0.0,200.0,336.4887324970466,0.0
-440.74155983550804,200.0,0.0,124.54916403108533,0.0
-78.30658336779697,0.0,200.0,314.0260575421548,0.0
-657.778623125269,200.0,0.0,102.18083231100408,0.0
-238.22522107713917,0.0,200.0,291.75167281529787,0.0
